coluna,valor,contagem
acousticness,0.0315,13
acousticness,0.0333,13
acousticness,0.051,13
acousticness,0.0744,13
acousticness,0.0799,13
acousticness,0.0914,13
acousticness,0.224,13
acousticness,0.225,13
acousticness,0.273,13
acousticness,0.277,13
acousticness,0.293,13
acousticness,0.301,13
acousticness,0.305,13
acousticness,0.306,13
acousticness,0.308,13
acousticness,0.314,13
acousticness,0.323,13
acousticness,0.331,13
acousticness,0.335,13
acousticness,0.391,13
acousticness,0.418,13
acousticness,0.489,13
acousticness,0.492,13
acousticness,0.502,13
acousticness,0.506,13
acousticness,0.507,13
acousticness,0.512,13
acousticness,0.513,13
acousticness,0.524,13
acousticness,0.528,13
acousticness,0.537,13
acousticness,0.544,13
acousticness,0.561,13
acousticness,0.581,13
acousticness,0.588,13
acousticness,0.597,13
acousticness,0.602,13
acousticness,0.612,13
acousticness,0.621,13
acousticness,0.626,13
acousticness,0.634,13
acousticness,0.641,13
acousticness,0.678,13
acousticness,0.695,13
acousticness,0.699,13
acousticness,0.7,13
acousticness,0.726,13
acousticness,0.73,13
acousticness,0.741,13
acousticness,0.774,13
acousticness,0.859,13
acousticness,0.873,13
acousticness,0.923,13
acousticness,8.55e-05,12
acousticness,0.00106,12
acousticness,0.00144,12
acousticness,0.00148,12
acousticness,0.00162,12
acousticness,0.00219,12
acousticness,0.0029,12
acousticness,0.00304,12
acousticness,0.00384,12
acousticness,0.00594,12
acousticness,0.0108,12
acousticness,0.0191,12
acousticness,0.0194,12
acousticness,0.0231,12
acousticness,0.0242,12
acousticness,0.025,12
acousticness,0.0264,12
acousticness,0.0272,12
acousticness,0.0286,12
acousticness,0.0287,12
acousticness,0.0296,12
acousticness,0.0306,12
acousticness,0.0313,12
acousticness,0.0327,12
acousticness,0.0351,12
acousticness,0.0372,12
acousticness,0.0398,12
acousticness,0.0411,12
acousticness,0.0495,12
acousticness,0.0515,12
acousticness,0.0529,12
acousticness,0.0539,12
acousticness,0.0772,12
acousticness,0.203,12
acousticness,0.244,12
acousticness,0.258,12
acousticness,0.319,12
acousticness,0.32,12
acousticness,0.338,12
acousticness,0.348,12
acousticness,0.362,12
acousticness,0.364,12
acousticness,0.366,12
acousticness,0.368,12
acousticness,0.428,12
acousticness,0.43,12
acousticness,0.441,12
acousticness,0.464,12
acousticness,0.469,12
acousticness,0.473,12
acousticness,0.484,12
acousticness,0.487,12
acousticness,0.525,12
acousticness,0.536,12
acousticness,0.545,12
acousticness,0.565,12
acousticness,0.571,12
acousticness,0.573,12
acousticness,0.595,12
acousticness,0.627,12
acousticness,0.631,12
acousticness,0.644,12
acousticness,0.647,12
acousticness,0.667,12
acousticness,0.712,12
acousticness,0.72,12
acousticness,0.721,12
acousticness,0.735,12
acousticness,0.755,12
acousticness,0.762,12
acousticness,0.792,12
acousticness,0.799,12
acousticness,0.803,12
acousticness,0.823,12
acousticness,0.843,12
acousticness,0.851,12
acousticness,0.869,12
acousticness,0.878,12
acousticness,0.934,12
acousticness,1.62e-05,11
acousticness,0.000108,11
acousticness,0.000121,11
acousticness,0.000132,11
acousticness,0.000148,11
acousticness,0.0011,11
acousticness,0.00118,11
acousticness,0.00134,11
acousticness,0.00142,11
acousticness,0.0015,11
acousticness,0.00153,11
acousticness,0.00158,11
acousticness,0.0016,11
acousticness,0.0018,11
acousticness,0.00221,11
acousticness,0.00231,11
acousticness,0.0027,11
acousticness,0.0028,11
acousticness,0.00565,11
acousticness,0.00701,11
acousticness,0.0115,11
acousticness,0.0122,11
acousticness,0.0143,11
acousticness,0.0148,11
acousticness,0.0156,11
acousticness,0.0157,11
acousticness,0.0175,11
acousticness,0.019,11
acousticness,0.0196,11
acousticness,0.0207,11
acousticness,0.0208,11
acousticness,0.0209,11
acousticness,0.0218,11
acousticness,0.026,11
acousticness,0.0271,11
acousticness,0.0279,11
acousticness,0.0319,11
acousticness,0.0329,11
acousticness,0.0337,11
acousticness,0.0342,11
acousticness,0.0352,11
acousticness,0.0376,11
acousticness,0.0385,11
acousticness,0.041,11
acousticness,0.0418,11
acousticness,0.0442,11
acousticness,0.0466,11
acousticness,0.0502,11
acousticness,0.0508,11
acousticness,0.0558,11
acousticness,0.0559,11
acousticness,0.0573,11
acousticness,0.0619,11
acousticness,0.0784,11
acousticness,0.079,11
acousticness,0.0933,11
acousticness,0.151,11
acousticness,0.207,11
acousticness,0.236,11
acousticness,0.268,11
acousticness,0.34,11
acousticness,0.351,11
acousticness,0.353,11
acousticness,0.354,11
acousticness,0.372,11
acousticness,0.377,11
acousticness,0.38,11
acousticness,0.421,11
acousticness,0.427,11
acousticness,0.432,11
acousticness,0.437,11
acousticness,0.438,11
acousticness,0.446,11
acousticness,0.459,11
acousticness,0.462,11
acousticness,0.472,11
acousticness,0.476,11
acousticness,0.479,11
acousticness,0.493,11
acousticness,0.498,11
acousticness,0.499,11
acousticness,0.519,11
acousticness,0.542,11
acousticness,0.549,11
acousticness,0.55,11
acousticness,0.557,11
acousticness,0.563,11
acousticness,0.601,11
acousticness,0.605,11
acousticness,0.62,11
acousticness,0.654,11
acousticness,0.67,11
acousticness,0.69,11
acousticness,0.691,11
acousticness,0.697,11
acousticness,0.707,11
acousticness,0.708,11
acousticness,0.717,11
acousticness,0.725,11
acousticness,0.727,11
acousticness,0.732,11
acousticness,0.747,11
acousticness,0.767,11
acousticness,0.000102,10
acousticness,0.000163,10
acousticness,0.000164,10
