coluna,valor,contagem
acousticness,0.616,63
acousticness,0.664,63
acousticness,0.667,63
acousticness,0.746,63
acousticness,0.774,63
acousticness,0.903,63
acousticness,0.904,63
acousticness,0.919,63
acousticness,0.00291,62
acousticness,0.00445,62
acousticness,0.012,62
acousticness,0.0152,62
acousticness,0.0157,62
acousticness,0.0245,62
acousticness,0.0631,62
acousticness,0.273,62
acousticness,0.325,62
acousticness,0.341,62
acousticness,0.351,62
acousticness,0.36,62
acousticness,0.381,62
acousticness,0.413,62
acousticness,0.429,62
acousticness,0.433,62
acousticness,0.468,62
acousticness,0.476,62
acousticness,0.477,62
acousticness,0.534,62
acousticness,0.549,62
acousticness,0.554,62
acousticness,0.571,62
acousticness,0.599,62
acousticness,0.602,62
acousticness,0.609,62
acousticness,0.62,62
acousticness,0.759,62
acousticness,0.898,62
acousticness,0.00123,61
acousticness,0.344,61
acousticness,0.372,61
acousticness,0.385,61
acousticness,0.465,61
acousticness,0.483,61
acousticness,0.517,61
acousticness,0.518,61
acousticness,0.521,61
acousticness,0.548,61
acousticness,0.607,61
acousticness,0.637,61
acousticness,0.694,61
acousticness,0.757,61
acousticness,0.761,61
acousticness,0.816,61
acousticness,0.855,61
acousticness,0.87,61
acousticness,0.899,61
acousticness,0.909,61
acousticness,0.915,61
acousticness,0.00113,60
acousticness,0.013,60
acousticness,0.0154,60
acousticness,0.0178,60
acousticness,0.0187,60
acousticness,0.029,60
acousticness,0.0956,60
acousticness,0.387,60
acousticness,0.391,60
acousticness,0.394,60
acousticness,0.417,60
acousticness,0.421,60
acousticness,0.479,60
acousticness,0.482,60
acousticness,0.51,60
acousticness,0.57,60
acousticness,0.631,60
acousticness,0.634,60
acousticness,0.645,60
acousticness,0.671,60
acousticness,0.684,60
acousticness,0.808,60
acousticness,0.826,60
acousticness,0.832,60
acousticness,0.9,60
acousticness,0.931,60
acousticness,0.945,60
acousticness,0.00131,59
acousticness,0.0142,59
acousticness,0.0207,59
acousticness,0.0243,59
acousticness,0.34,59
acousticness,0.371,59
acousticness,0.419,59
acousticness,0.453,59
acousticness,0.496,59
acousticness,0.503,59
acousticness,0.504,59
acousticness,0.509,59
acousticness,0.515,59
acousticness,0.523,59
acousticness,0.524,59
acousticness,0.563,59
acousticness,0.588,59
acousticness,0.591,59
acousticness,0.682,59
acousticness,0.716,59
acousticness,0.721,59
acousticness,0.837,59
acousticness,0.859,59
acousticness,0.873,59
acousticness,0.942,59
acousticness,0.0113,58
acousticness,0.0131,58
acousticness,0.0174,58
acousticness,0.0197,58
acousticness,0.423,58
acousticness,0.456,58
acousticness,0.519,58
acousticness,0.522,58
acousticness,0.612,58
acousticness,0.643,58
acousticness,0.66,58
acousticness,0.691,58
acousticness,0.705,58
acousticness,0.743,58
acousticness,0.805,58
acousticness,0.848,58
acousticness,0.865,58
acousticness,0.874,58
acousticness,0.00151,57
acousticness,0.0122,57
acousticness,0.0162,57
acousticness,0.0169,57
acousticness,0.017,57
acousticness,0.0183,57
acousticness,0.0204,57
acousticness,0.409,57
acousticness,0.485,57
acousticness,0.512,57
acousticness,0.542,57
acousticness,0.547,57
acousticness,0.622,57
acousticness,0.673,57
acousticness,0.677,57
acousticness,0.689,57
acousticness,0.718,57
acousticness,0.763,57
acousticness,0.792,57
acousticness,0.839,57
acousticness,0.887,57
acousticness,0.911,57
acousticness,0.916,57
acousticness,0.0067,56
acousticness,0.0136,56
acousticness,0.0151,56
acousticness,0.0158,56
acousticness,0.0167,56
acousticness,0.0176,56
acousticness,0.0192,56
acousticness,0.0208,56
acousticness,0.0477,56
acousticness,0.442,56
acousticness,0.489,56
acousticness,0.53,56
acousticness,0.558,56
acousticness,0.717,56
acousticness,0.725,56
acousticness,0.799,56
acousticness,0.922,56
acousticness,0.00108,55
acousticness,0.0133,55
acousticness,0.0138,55
acousticness,0.272,55
acousticness,0.52,55
acousticness,0.55,55
acousticness,0.551,55
acousticness,0.594,55
acousticness,0.606,55
acousticness,0.654,55
acousticness,0.747,55
acousticness,0.79,55
acousticness,0.824,55
acousticness,0.852,55
acousticness,0.0161,54
acousticness,0.0181,54
acousticness,0.0212,54
acousticness,0.0219,54
acousticness,0.0233,54
acousticness,0.024,54
acousticness,0.0259,54
acousticness,0.418,54
acousticness,0.439,54
acousticness,0.446,54
acousticness,0.526,54
acousticness,0.539,54
acousticness,0.578,54
acousticness,0.67,54
acousticness,0.801,54
acousticness,0.923,54
acousticness,0.0108,53
acousticness,0.0135,53
acousticness,0.0144,53
acousticness,0.0153,53
acousticness,0.0155,53
acousticness,0.0163,53
acousticness,0.0182,53
acousticness,0.0982,53
acousticness,0.462,53
acousticness,0.525,53
acousticness,0.556,53
acousticness,0.621,53
acousticness,0.803,53
acousticness,0.853,53
acousticness,0.021,52
acousticness,0.0214,52
acousticness,0.0223,52
acousticness,0.0229,52
acousticness,0.0303,52
acousticness,0.0306,52
acousticness,0.367,52
acousticness,0.389,52
acousticness,0.644,52
acousticness,0.683,52
acousticness,0.765,52
acousticness,0.775,52
acousticness,0.793,52
acousticness,0.906,52
acousticness,0.00102,51
acousticness,0.00231,51
acousticness,0.0139,51
acousticness,0.0188,51
acousticness,0.0206,51
acousticness,0.0241,51
acousticness,0.0267,51
acousticness,0.0275,51
acousticness,0.532,51
acousticness,0.63,51
acousticness,0.666,51
acousticness,0.678,51
acousticness,0.681,51
acousticness,0.712,51
acousticness,0.00126,50
acousticness,0.0177,50
acousticness,0.0196,50
acousticness,0.0295,50
acousticness,0.0305,50
acousticness,0.4,50
acousticness,0.498,50
acousticness,0.605,50
acousticness,0.722,50
acousticness,0.00107,49
acousticness,0.00109,49
acousticness,0.00122,49
acousticness,0.0175,49
acousticness,0.0203,49
acousticness,0.0248,49
acousticness,0.0251,49
acousticness,0.0273,49
acousticness,0.0281,49
acousticness,0.0519,49
acousticness,0.402,49
acousticness,0.445,49
acousticness,0.569,49
acousticness,0.584,49
acousticness,0.632,49
acousticness,0.638,49
acousticness,0.647,49
acousticness,0.783,49
acousticness,0.8,49
acousticness,0.823,49
acousticness,0.886,49
acousticness,0.00512,48
acousticness,0.0156,48
acousticness,0.0184,48
acousticness,0.0193,48
acousticness,0.0217,48
acousticness,0.0242,48
acousticness,0.0272,48
acousticness,0.0287,48
acousticness,0.0293,48
acousticness,0.0309,48
acousticness,0.0622,48
acousticness,0.0623,48
acousticness,0.422,48
acousticness,0.438,48
acousticness,0.493,48
acousticness,0.561,48
acousticness,0.675,48
acousticness,0.711,48
acousticness,0.734,48
acousticness,0.769,48
acousticness,0.878,48
acousticness,0.925,48
acousticness,0.0336,47
acousticness,0.0367,47
acousticness,0.378,47
acousticness,0.541,47
acousticness,0.585,47
acousticness,0.00104,46
acousticness,0.00119,46
acousticness,0.0147,46
acousticness,0.0199,46
acousticness,0.0221,46
acousticness,0.0226,46
acousticness,0.0328,46
acousticness,0.0453,46
acousticness,0.268,46
acousticness,0.567,46
acousticness,0.635,46
acousticness,0.00114,45
acousticness,0.00139,45
acousticness,0.00143,45
acousticness,0.00177,45
acousticness,0.0244,45
acousticness,0.0358,45
acousticness,0.0394,45
acousticness,0.0559,45
acousticness,0.0601,45
acousticness,0.0754,45
acousticness,0.488,45
acousticness,0.639,45
acousticness,0.0039,44
acousticness,0.0189,44
acousticness,0.0266,44
acousticness,0.0289,44
acousticness,0.0292,44
acousticness,0.0337,44
acousticness,0.0372,44
acousticness,0.041,44
acousticness,0.0589,44
acousticness,0.0677,44
acousticness,0.338,44
acousticness,0.454,44
acousticness,0.625,44
acousticness,0.00116,43
acousticness,0.00124,43
acousticness,0.0231,43
acousticness,0.0236,43
acousticness,0.0258,43
acousticness,0.0285,43
acousticness,0.0308,43
acousticness,0.0312,43
acousticness,0.0318,43
acousticness,0.0327,43
acousticness,0.0355,43
acousticness,0.0451,43
acousticness,0.0458,43
acousticness,0.0629,43
acousticness,0.00101,42
acousticness,0.00115,42
acousticness,0.00208,42
acousticness,0.02,42
acousticness,0.0201,42
acousticness,0.0218,42
acousticness,0.0235,42
acousticness,0.0264,42
acousticness,0.027,42
acousticness,0.038,42
acousticness,0.0431,42
acousticness,0.0558,42
acousticness,0.579,42
acousticness,0.00142,41
acousticness,0.00148,41
acousticness,0.00346,41
acousticness,0.00383,41
acousticness,0.0186,41
acousticness,0.0215,41
acousticness,0.0227,41
acousticness,0.0319,41
acousticness,0.0366,41
acousticness,0.0502,41
acousticness,0.0669,41
acousticness,0.0741,41
acousticness,0.076,41
acousticness,0.0765,41
acousticness,0.533,41
acousticness,0.019,40
acousticness,0.0194,40
acousticness,0.0213,40
acousticness,0.0224,40
acousticness,0.0232,40
acousticness,0.026,40
acousticness,0.0314,40
acousticness,0.0332,40
acousticness,0.0335,40
acousticness,0.0604,40
acousticness,0.0749,40
acousticness,0.474,40
acousticness,0.0,39
acousticness,0.00103,39
acousticness,0.00133,39
acousticness,0.00137,39
acousticness,0.00161,39
acousticness,0.00537,39
acousticness,0.0198,39
acousticness,0.0216,39
acousticness,0.023,39
acousticness,0.0286,39
acousticness,0.0322,39
acousticness,0.0371,39
acousticness,0.0375,39
acousticness,0.0379,39
acousticness,0.0398,39
acousticness,0.0426,39
acousticness,0.529,39
acousticness,0.00112,38
acousticness,0.00118,38
acousticness,0.00127,38
acousticness,0.00134,38
acousticness,0.0014,38
acousticness,0.00655,38
acousticness,0.00776,38
acousticness,0.0253,38
acousticness,0.0283,38
acousticness,0.0304,38
acousticness,0.0316,38
acousticness,0.0442,38
acousticness,0.0484,38
acousticness,0.0506,38
acousticness,0.0772,38
acousticness,0.079,38
acousticness,0.000187,37
acousticness,0.00125,37
acousticness,0.0015,37
acousticness,0.00162,37
acousticness,0.00178,37
acousticness,0.00216,37
acousticness,0.0027,37
acousticness,0.0234,37
acousticness,0.0256,37
acousticness,0.0263,37
acousticness,0.0278,37
acousticness,0.0296,37
acousticness,0.0297,37
acousticness,0.0351,37
acousticness,0.0397,37
acousticness,0.0399,37
acousticness,0.0449,37
acousticness,0.0513,37
acousticness,0.0525,37
acousticness,0.0539,37
acousticness,0.0577,37
acousticness,0.00165,36
acousticness,0.00214,36
acousticness,0.00221,36
acousticness,0.00428,36
acousticness,0.0239,36
acousticness,0.0247,36
acousticness,0.0284,36
acousticness,0.0294,36
acousticness,0.0362,36
acousticness,0.0418,36
acousticness,0.0425,36
acousticness,0.0462,36
acousticness,0.0467,36
acousticness,0.0505,36
acousticness,0.0561,36
acousticness,0.0564,36
acousticness,0.0771,36
acousticness,0.0827,36
acousticness,0.527,36
acousticness,0.00132,35
acousticness,0.00152,35
acousticness,0.00158,35
acousticness,0.0018,35
acousticness,0.00191,35
acousticness,0.022,35
acousticness,0.0291,35
acousticness,0.0329,35
acousticness,0.0345,35
acousticness,0.0353,35
acousticness,0.0385,35
acousticness,0.0401,35
acousticness,0.0573,35
acousticness,0.00105,34
acousticness,0.0011,34
acousticness,0.0012,34
acousticness,0.00145,34
acousticness,0.00404,34
acousticness,0.00721,34
acousticness,0.0238,34
acousticness,0.0271,34
